fn_2_1A1B4                 -> challengeFileSelect                          0x80659248 func
fn_2_53408                 -> challengeMap                                 0x8069249c func
fn_2_5E104                 -> recordsScreen                                0x8069d198 func
fn_2_6C938                 -> checkForButtonPressToSkip_maybe              0x806ab9cc func   [sanitized from: checkForButtonPressToSkip?]
fn_2_7265C                 -> cssCheckSomethingAboutCharacters             0x806b16f0 func
fn_2_74F40                 -> gfx_cssCharStatBars_and_sthgElse             0x806b3fd4 func   [sanitized from: gfx_cssCharStatBars+sthgElse]
fn_2_75BE4                 -> teamSelectionSetChemStars                    0x806b4c78 func
fn_2_776A0                 -> removeAllPlayersFromTeam                     0x806b6734 func
fn_2_7805C                 -> cssAction_0x1d                               0x806b70f0 func
fn_2_7836C                 -> cssAction_0x1c                               0x806b7400 func
fn_2_78AC0                 -> cssAction_0x1b                               0x806b7b54 func
fn_2_78F78                 -> cssAction_0x1a                               0x806b800c func
fn_2_7912C                 -> cssAction_0x19                               0x806b81c0 func
fn_2_79394                 -> cssAction_0x18                               0x806b8428 func
fn_2_79930                 -> randomTeamMemberSelection                    0x806b89c4 func
fn_2_7BFF8                 -> cssAction_case9                              0x806bb08c func
fn_2_7E380                 -> cssUnready                                   0x806bd414 func
fn_2_7E974                 -> cssReady                                     0x806bda08 func
fn_2_7F030                 -> cssRemoveCharacter2                          0x806be0c4 func
fn_2_7F2BC                 -> cssRemoveCharacter1                          0x806be350 func
fn_2_7F8BC                 -> cssSelectCharacter                           0x806be950 func
fn_2_800B0                 -> captainSelectUnloadCSSLoadRelated            0x806bf144 func
fn_2_80F5C                 -> maybeBackgroundImagesForCaptain              0x806bfff0 func
fn_2_81628                 -> cssActions                                   0x806c06bc func
fn_2_8279C                 -> relatedToTeamSelection3                      0x806c1830 func
fn_2_82E58                 -> relatedToTeamSelection4                      0x806c1eec func
fn_2_83B34                 -> stadiumRandomRelated                         0x806c2bc8 func
fn_2_84FA8                 -> stadiumScreenAnimations_maybe                0x806c403c func   [sanitized from: stadiumScreenAnimations?]
fn_2_85108                 -> loadStadiumScreen_maybe                      0x806c419c func   [sanitized from: loadStadiumScreen?]
fn_2_8EEC8                 -> titleScreen                                  0x806cdf5c func
lbl_2_data_138             -> pCurrentScreenControlFunction                0x806d7178 data
lbl_2_data_130C            -> cursorToStadIDMapping                        0x806d834c data
fn_3_9FE6C_normalizeAngle  -> normalizeAngle                               0x806def00 func
fn_3_B707C                 -> practiceRelatedUnused_maybe                  0x806f6110 func   [sanitized from: practiceRelatedUnused?]
lbl_3_rodata_1F08          -> constToDouble_maybe                          0x807af348 data   [sanitized from: constToDouble?]
lbl_3_rodata_2658          -> const_pi_or_180                              0x807afa98 data   [sanitized from: const_pi/180]

--- skipped ---
fn_800111FC                   animationRelated                             name already used in repo: animationRelated
fn_8001DB74                   animRelated                                  name already used in repo: animRelated
lbl_803CC400                  7.0                                          numeric literal label
lbl_803CC404                  6.0                                          numeric literal label
lbl_803CC408                  12.0                                         numeric literal label
lbl_803CC40C                  -1.0                                         numeric literal label
lbl_803CC410                  3.0                                          numeric literal label
lbl_803CC414                  -3.0                                         numeric literal label
lbl_803CC418                  1.0                                          numeric literal label
lbl_803CC41C                  -6.0                                         numeric literal label
lbl_803CC428                  1.0                                          numeric literal label
lbl_803CC42C                  0.0                                          numeric literal label
lbl_803CC470                  1280.0                                       numeric literal label
lbl_803CC47C                  0.0                                          numeric literal label
lbl_803CC480                  256.0                                        numeric literal label
lbl_803CC490                  0.0                                          numeric literal label
lbl_803CC494                  448.0                                        numeric literal label
lbl_803CC498                  640.0                                        numeric literal label
lbl_803CC49C                  2.0                                          numeric literal label
lbl_803CC4B8                  0.0                                          numeric literal label
lbl_803CC564                  c1.0                                         numeric literal label
lbl_803CC56C                  2048.0                                       numeric literal label
lbl_803CC578                  const_IntToDouble                            name already used in repo: const_IntToDouble
lbl_803CC588                  const_IntToDouble                            name already used in repo: const_IntToDouble
lbl_803CC59C                  255.0                                        numeric literal label
lbl_803CC5A0                  0.0                                          numeric literal label
lbl_803CC5A4                  1.0                                          numeric literal label
lbl_803CC600                  tfd                                          name already used in repo: tfd
lbl_803CC6E0                  c1025.0                                      numeric literal label
lbl_803CC7A0                  640.0                                        numeric literal label
lbl_803CC7A4                  1280.0                                       numeric literal label
lbl_803CC7A8                  0.5                                          numeric literal label
lbl_803CC7B0                  448.0                                        numeric literal label
lbl_803CC7B4                  255.0                                        numeric literal label
lbl_803CC940                  1.0                                          numeric literal label
lbl_803CC944                  0.0                                          numeric literal label
lbl_803CC950                  2.0                                          numeric literal label
lbl_803CC988                  1.0                                          numeric literal label
lbl_803CC9F0                  1024.0                                       numeric literal label
lbl_803CC9F8                  0.0                                          numeric literal label
lbl_803CC9FC                  1.0                                          numeric literal label
lbl_803CCA10                  2.0                                          numeric literal label
lbl_803CCA18                  0.5                                          numeric literal label
lbl_803CCA20                  8388638.0                                    numeric literal label
lbl_803CCB08                  1.0E300                                      numeric literal label
lbl_803CCB10                  1.0                                          numeric literal label
lbl_803CCB68                  0.5                                          numeric literal label
lbl_803CCF08                  -1.0                                         numeric literal label
lbl_803CCF0C                  0.0                                          numeric literal label
lbl_803CCF10                  1.0                                          numeric literal label
lbl_803CCF60                  PI                                           AMBIGUOUS: PI is also what -PI sanitizes to -- name one by hand
lbl_803CCF7C                  c1.0                                         numeric literal label
lbl_803CCFC0                  c-1.0                                        numeric literal label
lbl_803CCFC4                  c1.0                                         numeric literal label
lbl_803CCFD8                  1.0                                          numeric literal label
lbl_803CCFDC                  0.0                                          numeric literal label
lbl_803CCFE0                  -1.0                                         numeric literal label
lbl_803CCFFC                  0.0                                          numeric literal label
